State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
KY,"13,150","1,447",0.6,0.65,"5,291","9,220",504,976,"3,411,784","672,706","2,047,070","427,288","92,113","28,486",538%,309%,217%,"14,243",269%,154%,108%,"9,289",176%,101%,71%,"6,141",1218%,629%,424%,"3,070",609%,315%,212%,"2,002",397%,205%,138%
LA,"13,881","1,518",0.57,0.58,"5,990","9,936",632,"1,075","3,550,728","655,848","2,130,437","442,166","94,666","29,478",492%,297%,212%,"14,739",246%,148%,106%,"9,612",160%,97%,69%,"6,311",999%,587%,416%,"3,156",499%,294%,208%,"2,058",326%,191%,136%
MA,"13,759","1,555",0.74,0.63,"3,603","8,681",571,"1,063","5,405,787","1,049,751","3,243,472","676,095","145,511","45,073",1251%,519%,328%,"22,536",625%,260%,164%,"14,698",408%,169%,107%,"9,701",1699%,913%,624%,"4,850",849%,456%,312%,"3,163",554%,298%,203%
MD,"11,249","1,227",0.71,0.66,"3,296","7,273",422,825,"4,648,466","849,185","2,789,080","578,329","123,677","38,555",1170%,530%,343%,"19,278",585%,265%,171%,"12,572",381%,173%,112%,"8,245",1954%,999%,672%,"4,123",977%,500%,336%,"2,689",637%,326%,219%
ME,"3,310",288,0.7,0.63,980,"2,145",107,198,"1,073,331","250,131","643,999","136,617","30,021","9,108",929%,425%,275%,"4,554",465%,212%,138%,"2,970",303%,138%,90%,"2,001",1870%,1011%,695%,"1,001",936%,506%,348%,653,610%,330%,227%
MI,"24,286","2,749",0.64,0.64,"8,855","16,571",976,"1,863","7,717,047","1,575,233","4,630,228","969,532","209,801","64,635",730%,390%,266%,"32,318",365%,195%,133%,"21,077",238%,127%,87%,"13,987",1433%,751%,509%,"6,993",716%,375%,254%,"4,561",467%,245%,166%
MN,"13,423","1,277",0.66,0.65,"4,605","9,014",452,864,"4,204,388","803,718","2,522,633","525,112","112,828","35,007",760%,388%,261%,"17,504",380%,194%,130%,"11,415",248%,127%,85%,"7,522",1664%,871%,589%,"3,761",832%,435%,295%,"2,453",543%,284%,192%
MO,"17,087","2,092",0.6,0.58,"6,884","11,985",874,"1,483","4,685,891","956,032","2,811,535","588,685","127,381","39,246",570%,327%,230%,"19,623",285%,164%,115%,"12,798",186%,107%,75%,"8,492",972%,573%,406%,"4,246",486%,286%,203%,"2,769",317%,187%,132%
MS,"11,877",931,0.56,0.58,"5,255","8,566",392,661,"2,259,919","437,027","1,355,951","282,541","60,782","18,836",358%,220%,159%,"9,418",179%,110%,79%,"6,142",117%,72%,52%,"4,052",1034%,613%,435%,"2,026",517%,307%,218%,"1,321",337%,200%,142%
MT,"3,667",248,0.58,0.55,"1,541","2,604",113,180,"803,704","176,138","482,222","101,662","22,177","6,777",440%,260%,185%,"3,389",220%,130%,92%,"2,210",143%,85%,60%,"1,478",1308%,821%,596%,739,654%,411%,298%,482,427%,268%,194%
